0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0.9962,0.9962,0.9962,0.9962,0.9962,0.9962,0.9962,0.9962,0.9962,0.9962,0.9962,0.9962,0.9962,0.9962,0.9962
-0.07752731,0.035084214,0.21156786,-0.048916075,-0.16790105,-1.0131509,-1.3910878,-0.5802959,-0.091444224,-0.7227541,-0.5895866,-0.03871454,-1.0859724,-0.0047310926,1.2823509
-0.27327478,-0.29315636,0.21273348,0.3062881,0.06278462,-0.95798135,-1.3422958,-0.3146916,0.015622289,-0.092509136,-0.532489,0.14405236,-0.59877723,-0.01722914,0.5673935
-0.30695057,-0.07991266,-0.56949085,0.16312099,-0.6215657,-1.3702234,-0.70932394,-0.64094484,0.8750904,0.23732081,-0.54173774,0.59508824,-0.9875985,1.0997615,0.8761046
-0.4849859,-0.22293933,0.06154947,0.28956664,-0.28516787,-0.897269,0.21844462,-0.2650634,1.0652215,-0.17620753,-1.0843627,0.3976261,-1.4052737,0.50783956,0.6209081
-0.22643591,0.6111866,-0.28589126,0.69749117,-0.30707252,-1.0406351,-0.5996118,-0.81438124,1.004158,0.21940912,-1.1016083,0.23511337,-1.2548175,0.78036755,1.1353763
-0.4913301,0.7306048,0.037929848,0.5265578,-0.5531237,0.00492388,-0.89882904,-1.1890814,1.1752712,-0.598709,-0.41835696,1.2509055,-0.81294787,1.4655832,1.2779288
-0.14570954,0.9497719,1.1057451,0.43869263,-0.20842811,-0.558234,-1.405527,-0.22735061,1.2304972,0.18804216,-0.60411716,1.3608317,-0.64971256,1.192778,1.4794935
0.08510548,0.89941055,1.4973747,0.980062,0.50181717,-0.14620101,-1.3394678,-0.23039597,0.7642797,0.6690645,-0.8342768,1.7379686,0.11288802,1.5151566,1.330735
-0.5870855,1.2195035,2.201758,1.1460378,0.11687044,-0.33071503,-0.6912273,0.2741196,0.35155833,1.1086758,-0.24480578,1.4998424,-0.50335807,0.7708153,0.40285027
-0.047252566,1.0110526,1.2194444,1.2768745,0.053074144,-0.3507231,-0.2402883,0.5668973,0.12732919,0.9809657,0.4304599,0.88290584,0.12419996,0.47730988,0.8141983
0.3576098,0.8593267,-0.15273526,0.62045145,1.0698313,0.064319044,-0.31635204,0.083533034,0.42009798,0.28422713,0.80252355,0.5002398,0.41283917,0.82532966,0.91480213
